,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
1351,0.869,0.503,2.0,-12.804,1.0,0.0479,0.0818,0.00837,0.187,0.914,112.664,audio_features,2wYKNcoqKW4IEcllj42xz1,spotify:track:2wYKNcoqKW4IEcllj42xz1,https://api.spotify.com/v1/tracks/2wYKNcoqKW4IEcllj42xz1,https://api.spotify.com/v1/audio-analysis/2wYKNcoqKW4IEcllj42xz1,486187,4,funk
1352,0.347,0.365,4.0,-10.23,1.0,0.0442,0.646,2.44e-06,0.21,0.378,169.792,audio_features,7aKrysuyZvDnU3JwnlO3dd,spotify:track:7aKrysuyZvDnU3JwnlO3dd,https://api.spotify.com/v1/tracks/7aKrysuyZvDnU3JwnlO3dd,https://api.spotify.com/v1/audio-analysis/7aKrysuyZvDnU3JwnlO3dd,240466,3,funk
1353,0.66,0.622,11.0,-8.605,0.0,0.0646,0.358,2.47e-06,0.0998,0.629,174.15,audio_features,4cSSUpptr7r125fK5nRJhP,spotify:track:4cSSUpptr7r125fK5nRJhP,https://api.spotify.com/v1/tracks/4cSSUpptr7r125fK5nRJhP,https://api.spotify.com/v1/audio-analysis/4cSSUpptr7r125fK5nRJhP,184973,4,funk
1354,0.411,0.893,7.0,-3.646,1.0,0.139,0.00563,0.00967,0.149,0.513,170.407,audio_features,2QiqwOVUctPRVggO9G1Zs5,spotify:track:2QiqwOVUctPRVggO9G1Zs5,https://api.spotify.com/v1/tracks/2QiqwOVUctPRVggO9G1Zs5,https://api.spotify.com/v1/audio-analysis/2QiqwOVUctPRVggO9G1Zs5,363853,4,funk
1355,0.77,0.896,0.0,-3.971,1.0,0.039,0.0539,0.0,0.243,0.964,126.999,audio_features,4sNwdacKyi2S26WrRtNama,spotify:track:4sNwdacKyi2S26WrRtNama,https://api.spotify.com/v1/tracks/4sNwdacKyi2S26WrRtNama,https://api.spotify.com/v1/audio-analysis/4sNwdacKyi2S26WrRtNama,182587,4,indie
1356,0.827,0.58,7.0,-6.809,1.0,0.327,0.309,0.0,0.148,0.491,78.007,audio_features,4IA6pgGRmqfxWGAfyZ8cgR,spotify:track:4IA6pgGRmqfxWGAfyZ8cgR,https://api.spotify.com/v1/tracks/4IA6pgGRmqfxWGAfyZ8cgR,https://api.spotify.com/v1/audio-analysis/4IA6pgGRmqfxWGAfyZ8cgR,168320,4,indie
1357,0.595,0.896,10.0,-2.951,1.0,0.047,0.0641,5.82e-05,0.0748,0.567,118.001,audio_features,2Iq6HhIquO7JKr0KfTNLzU,spotify:track:2Iq6HhIquO7JKr0KfTNLzU,https://api.spotify.com/v1/tracks/2Iq6HhIquO7JKr0KfTNLzU,https://api.spotify.com/v1/audio-analysis/2Iq6HhIquO7JKr0KfTNLzU,204812,4,indie
1358,0.515,0.755,5.0,-3.724,1.0,0.0383,0.0633,0.00101,0.107,0.165,140.101,audio_features,5ZpAU5f4jxj6i9XoKK0RaI,spotify:track:5ZpAU5f4jxj6i9XoKK0RaI,https://api.spotify.com/v1/tracks/5ZpAU5f4jxj6i9XoKK0RaI,https://api.spotify.com/v1/audio-analysis/5ZpAU5f4jxj6i9XoKK0RaI,262173,4,indie
1359,0.696,0.583,10.0,-6.384,1.0,0.0307,0.629,0.0,0.123,0.543,79.057,audio_features,2BJy4svtrGACqRB5BFLOK6,spotify:track:2BJy4svtrGACqRB5BFLOK6,https://api.spotify.com/v1/tracks/2BJy4svtrGACqRB5BFLOK6,https://api.spotify.com/v1/audio-analysis/2BJy4svtrGACqRB5BFLOK6,208813,4,indie
1360,0.513,0.807,1.0,-6.095,1.0,0.0481,0.0289,0.0548,0.246,0.419,162.026,audio_features,57j65yC2HggQfmYNc6rdOK,spotify:track:57j65yC2HggQfmYNc6rdOK,https://api.spotify.com/v1/tracks/57j65yC2HggQfmYNc6rdOK,https://api.spotify.com/v1/audio-analysis/57j65yC2HggQfmYNc6rdOK,219638,4,indie
1361,0.523,0.521,6.0,-4.746,1.0,0.159,0.607,0.0,0.107,0.661,133.953,audio_features,3ncmoWTwJgx63LwMTyBCXf,spotify:track:3ncmoWTwJgx63LwMTyBCXf,https://api.spotify.com/v1/tracks/3ncmoWTwJgx63LwMTyBCXf,https://api.spotify.com/v1/audio-analysis/3ncmoWTwJgx63LwMTyBCXf,204317,3,indie
1362,0.344,0.384,0.0,-7.064,1.0,0.0317,0.629,0.000445,0.31,0.334,163.664,audio_features,5rcnAHBclBs0OGV4rATEnR,spotify:track:5rcnAHBclBs0OGV4rATEnR,https://api.spotify.com/v1/tracks/5rcnAHBclBs0OGV4rATEnR,https://api.spotify.com/v1/audio-analysis/5rcnAHBclBs0OGV4rATEnR,287248,3,indie
1363,0.823,0.361,2.0,-7.682,1.0,0.0409,0.142,0.0,0.303,0.169,119.932,audio_features,3yy1OnN0D8Zlq6rfHfJ5UK,spotify:track:3yy1OnN0D8Zlq6rfHfJ5UK,https://api.spotify.com/v1/tracks/3yy1OnN0D8Zlq6rfHfJ5UK,https://api.spotify.com/v1/audio-analysis/3yy1OnN0D8Zlq6rfHfJ5UK,229667,4,indie
1364,0.276,0.846,1.0,-7.561,0.0,0.0725,0.000244,0.311,0.197,0.668,157.458,audio_features,7IBzp33O4Hjr92wXtH3yQJ,spotify:track:7IBzp33O4Hjr92wXtH3yQJ,https://api.spotify.com/v1/tracks/7IBzp33O4Hjr92wXtH3yQJ,https://api.spotify.com/v1/audio-analysis/7IBzp33O4Hjr92wXtH3yQJ,139605,4,indie
1365,0.704,0.487,9.0,-6.407,0.0,0.0604,0.669,8.64e-05,0.111,0.313,121.726,audio_features,51rPRW8NjxZoWPPjnRGzHw,spotify:track:51rPRW8NjxZoWPPjnRGzHw,https://api.spotify.com/v1/tracks/51rPRW8NjxZoWPPjnRGzHw,https://api.spotify.com/v1/audio-analysis/51rPRW8NjxZoWPPjnRGzHw,301893,4,indie
1366,0.502,0.941,7.0,-5.194,1.0,0.0716,0.000346,0.319,0.553,0.124,119.783,audio_features,0hDQV9X1Da5JrwhK8gu86p,spotify:track:0hDQV9X1Da5JrwhK8gu86p,https://api.spotify.com/v1/tracks/0hDQV9X1Da5JrwhK8gu86p,https://api.spotify.com/v1/audio-analysis/0hDQV9X1Da5JrwhK8gu86p,219987,4,indie
1367,0.394,0.654,3.0,-8.243,1.0,0.0346,0.0404,6.96e-05,0.112,0.264,135.188,audio_features,2MQhTbX792AT6YyzwLz9dt,spotify:track:2MQhTbX792AT6YyzwLz9dt,https://api.spotify.com/v1/tracks/2MQhTbX792AT6YyzwLz9dt,https://api.spotify.com/v1/audio-analysis/2MQhTbX792AT6YyzwLz9dt,239881,4,indie
1368,0.609,0.674,10.0,-7.388,0.0,0.0548,0.0735,0.06,0.345,0.315,90.009,audio_features,23OXdR7YuUBVWh5hSnYJau,spotify:track:23OXdR7YuUBVWh5hSnYJau,https://api.spotify.com/v1/tracks/23OXdR7YuUBVWh5hSnYJau,https://api.spotify.com/v1/audio-analysis/23OXdR7YuUBVWh5hSnYJau,324467,4,indie
1369,0.697,0.632,9.0,-5.288,1.0,0.0305,0.0135,0.0,0.0502,0.452,112.058,audio_features,6GDd1lZ0zp5pB6JleN5Xzx,spotify:track:6GDd1lZ0zp5pB6JleN5Xzx,https://api.spotify.com/v1/tracks/6GDd1lZ0zp5pB6JleN5Xzx,https://api.spotify.com/v1/audio-analysis/6GDd1lZ0zp5pB6JleN5Xzx,172293,4,indie
1370,0.684,0.652,3.0,-6.258,1.0,0.26,0.128,0.0,0.0719,0.541,85.104,audio_features,6fNaHkjAxP6rI2sZhT7QJn,spotify:track:6fNaHkjAxP6rI2sZhT7QJn,https://api.spotify.com/v1/tracks/6fNaHkjAxP6rI2sZhT7QJn,https://api.spotify.com/v1/audio-analysis/6fNaHkjAxP6rI2sZhT7QJn,180000,4,indie
1371,0.66,0.689,4.0,-2.671,0.0,0.0337,0.0884,0.0,0.0922,0.427,127.98,audio_features,4sOX1nhpKwFWPvoMMExi3q,spotify:track:4sOX1nhpKwFWPvoMMExi3q,https://api.spotify.com/v1/tracks/4sOX1nhpKwFWPvoMMExi3q,https://api.spotify.com/v1/audio-analysis/4sOX1nhpKwFWPvoMMExi3q,221075,4,indie
1372,0.715,0.42,7.0,-12.562,0.0,0.0374,0.55,0.0374,0.124,0.772,153.035,audio_features,37BZW7WkMBkWyIVs5OMVJt,spotify:track:37BZW7WkMBkWyIVs5OMVJt,https://api.spotify.com/v1/tracks/37BZW7WkMBkWyIVs5OMVJt,https://api.spotify.com/v1/audio-analysis/37BZW7WkMBkWyIVs5OMVJt,164469,4,indie
1373,0.386,0.826,11.0,-7.847,0.0,0.114,0.158,0.000489,0.101,0.376,187.094,audio_features,6d67Xv8ms2noA8wWFLiPDN,spotify:track:6d67Xv8ms2noA8wWFLiPDN,https://api.spotify.com/v1/tracks/6d67Xv8ms2noA8wWFLiPDN,https://api.spotify.com/v1/audio-analysis/6d67Xv8ms2noA8wWFLiPDN,228800,4,indie
1374,0.265,0.714,8.0,-5.393,1.0,0.0375,0.000129,0.432,0.137,0.1,145.156,audio_features,2ASygm7048ssav4ekbehPS,spotify:track:2ASygm7048ssav4ekbehPS,https://api.spotify.com/v1/tracks/2ASygm7048ssav4ekbehPS,https://api.spotify.com/v1/audio-analysis/2ASygm7048ssav4ekbehPS,360667,4,indie
1375,0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,audio_features,696DnlkuDOXcMAnKlTgXXK,spotify:track:696DnlkuDOXcMAnKlTgXXK,https://api.spotify.com/v1/tracks/696DnlkuDOXcMAnKlTgXXK,https://api.spotify.com/v1/audio-analysis/696DnlkuDOXcMAnKlTgXXK,163636,5,indie
1376,0.415,0.748,4.0,-5.008,1.0,0.0481,0.00305,0.0,0.0903,0.154,120.056,audio_features,4ltqfN12ohaVZdM6C45gMg,spotify:track:4ltqfN12ohaVZdM6C45gMg,https://api.spotify.com/v1/tracks/4ltqfN12ohaVZdM6C45gMg,https://api.spotify.com/v1/audio-analysis/4ltqfN12ohaVZdM6C45gMg,258419,4,indie
1377,0.671,0.463,11.0,-8.534,1.0,0.0439,0.391,0.0,0.162,0.347,85.002,audio_features,5ngcqrs4Xq915GUqNtNNr5,spotify:track:5ngcqrs4Xq915GUqNtNNr5,https://api.spotify.com/v1/tracks/5ngcqrs4Xq915GUqNtNNr5,https://api.spotify.com/v1/audio-analysis/5ngcqrs4Xq915GUqNtNNr5,208533,4,indie
1378,0.404,0.268,1.0,-9.631,1.0,0.0341,0.583,0.0,0.102,0.124,134.587,audio_features,4WjxtORnwPavm5PDsAWJEc,spotify:track:4WjxtORnwPavm5PDsAWJEc,https://api.spotify.com/v1/tracks/4WjxtORnwPavm5PDsAWJEc,https://api.spotify.com/v1/audio-analysis/4WjxtORnwPavm5PDsAWJEc,268433,3,indie
1379,0.571,0.768,1.0,-7.825,1.0,0.0382,0.359,0.0,0.0976,0.41,73.007,audio_features,3Kh7jZ6QdVJJq63A3xRneN,spotify:track:3Kh7jZ6QdVJJq63A3xRneN,https://api.spotify.com/v1/tracks/3Kh7jZ6QdVJJq63A3xRneN,https://api.spotify.com/v1/audio-analysis/3Kh7jZ6QdVJJq63A3xRneN,165600,4,indie
1380,0.801,0.85,5.0,-6.342,1.0,0.0413,0.122,0.000971,0.112,0.923,128.007,audio_features,4NHLhoZgBkICm5LtTRXFAP,spotify:track:4NHLhoZgBkICm5LtTRXFAP,https://api.spotify.com/v1/tracks/4NHLhoZgBkICm5LtTRXFAP,https://api.spotify.com/v1/audio-analysis/4NHLhoZgBkICm5LtTRXFAP,218027,4,disco
1381,0.639,0.766,3.0,-7.579,0.0,0.0474,0.486,0.0,0.128,0.936,155.521,audio_features,2MJMOHpIQVZl6JvUvUnopC,spotify:track:2MJMOHpIQVZl6JvUvUnopC,https://api.spotify.com/v1/tracks/2MJMOHpIQVZl6JvUvUnopC,https://api.spotify.com/v1/audio-analysis/2MJMOHpIQVZl6JvUvUnopC,276827,4,disco
1382,0.608,0.745,4.0,-8.772,0.0,0.0857,0.323,0.00428,0.135,0.614,88.941,audio_features,2GH5jo15wbTv1Ll7zXEzSg,spotify:track:2GH5jo15wbTv1Ll7zXEzSg,https://api.spotify.com/v1/tracks/2GH5jo15wbTv1Ll7zXEzSg,https://api.spotify.com/v1/audio-analysis/2GH5jo15wbTv1Ll7zXEzSg,277413,4,disco
1383,0.599,0.927,0.0,-8.356,1.0,0.106,0.126,0.207,0.0441,0.791,110.32,audio_features,6hYT9vkr0xMjhBlaLsYq9T,spotify:track:6hYT9vkr0xMjhBlaLsYq9T,https://api.spotify.com/v1/tracks/6hYT9vkr0xMjhBlaLsYq9T,https://api.spotify.com/v1/audio-analysis/6hYT9vkr0xMjhBlaLsYq9T,248223,4,disco
1384,0.773,0.721,3.0,-12.574,1.0,0.0294,0.232,1.61e-05,0.0349,0.971,110.383,audio_features,0YWUf0FuvbOvAlrOAVaH8S,spotify:track:0YWUf0FuvbOvAlrOAVaH8S,https://api.spotify.com/v1/tracks/0YWUf0FuvbOvAlrOAVaH8S,https://api.spotify.com/v1/audio-analysis/0YWUf0FuvbOvAlrOAVaH8S,271493,4,disco
