,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,trackName,artistName,genre,type,id,uri,track_href,analysis_url,sentiment_polarity,weighted_score
3039,61369.0,0.58,0.00283,2.0,-28.277,0.0,0.054,0.994,0.963,0.103,0.262,66.586,61482.0,3.0,Man of the World (Piano),Kato,anime lo-fi,audio_features,2i41GgmdOzV88a3pmE6Yze,spotify:track:2i41GgmdOzV88a3pmE6Yze,https://api.spotify.com/v1/tracks/2i41GgmdOzV88a3pmE6Yze,https://api.spotify.com/v1/audio-analysis/2i41GgmdOzV88a3pmE6Yze,0.0,231125114706409.2
1890,65371.0,0.785,0.0058,9.0,-27.749,0.0,0.107,0.982,0.964,0.111,0.509,66.492,65450.0,4.0,Floating Dead Leaves,Kato,anime lo-fi,audio_features,6qw2LarNbrnBYdXWIPYeTr,spotify:track:6qw2LarNbrnBYdXWIPYeTr,https://api.spotify.com/v1/tracks/6qw2LarNbrnBYdXWIPYeTr,https://api.spotify.com/v1/audio-analysis/6qw2LarNbrnBYdXWIPYeTr,-0.2,279354316059811.25
2723,129944.0,0.689,0.0258,2.0,-28.516,1.0,0.0599,0.989,0.971,0.111,0.511,62.589,64881.0,3.0,Konoha Peace (From Naruto),Kato,anime lo-fi,audio_features,6Zp9pormGrMRqgFZ9XowHz,spotify:track:6Zp9pormGrMRqgFZ9XowHz,https://api.spotify.com/v1/tracks/6Zp9pormGrMRqgFZ9XowHz,https://api.spotify.com/v1/audio-analysis/6Zp9pormGrMRqgFZ9XowHz,0.0,2194162022864384.2
1455,123870.0,0.682,0.141,2.0,-19.345,0.0,0.0616,0.801,0.886,0.112,0.109,93.099,123871.0,4.0,Dandelion's Lullaby,Raimu,anime lo-fi,audio_features,4TLoYT6uaGydqUQRZ9hlxG,spotify:track:4TLoYT6uaGydqUQRZ9hlxG,https://api.spotify.com/v1/tracks/4TLoYT6uaGydqUQRZ9hlxG,https://api.spotify.com/v1/audio-analysis/4TLoYT6uaGydqUQRZ9hlxG,0.0,1900633644603000.2
649,89491.0,0.689,0.0204,10.0,-28.613,1.0,0.0377,0.986,0.923,0.297,0.356,117.975,89492.0,4.0,for B.,Linearwave,anime lo-fi,audio_features,4eqYoFG2SGQqMFCvKrjtiu,spotify:track:4eqYoFG2SGQqMFCvKrjtiu,https://api.spotify.com/v1/tracks/4eqYoFG2SGQqMFCvKrjtiu,https://api.spotify.com/v1/audio-analysis/4eqYoFG2SGQqMFCvKrjtiu,0.0,716701119997771.2
4323,116000.0,0.696,0.472,4.0,-16.109,1.0,0.0346,0.969,0.858,0.205,0.235,119.997,116000.0,4.0,Sweet Evening,Jordy Chandra,anime lo-fi,audio_features,1OflLzbmAbFyJdy6cH6B9q,spotify:track:1OflLzbmAbFyJdy6cH6B9q,https://api.spotify.com/v1/tracks/1OflLzbmAbFyJdy6cH6B9q,https://api.spotify.com/v1/audio-analysis/1OflLzbmAbFyJdy6cH6B9q,0.35,1560896000000000.2
3942,52020.0,0.631,0.498,2.0,-8.702,0.0,0.0394,0.563,0.888,0.0987,0.249,140.009,105608.0,4.0,Samidare (Naruto),Kato,anime lo-fi,audio_features,6Z44705D146CLIzi24o95S,spotify:track:6Z44705D146CLIzi24o95S,https://api.spotify.com/v1/tracks/6Z44705D146CLIzi24o95S,https://api.spotify.com/v1/audio-analysis/6Z44705D146CLIzi24o95S,0.0,140770302408000.28
3089,499764.0,0.48,0.0419,1.0,-29.08,1.0,0.0356,0.981,0.905,0.365,0.107,85.008,166588.0,4.0,Melancholy,Jisatsu,anime lo-fi,audio_features,3Uuf5AEoI5KoDqYPcITpWT,spotify:track:3Uuf5AEoI5KoDqYPcITpWT,https://api.spotify.com/v1/tracks/3Uuf5AEoI5KoDqYPcITpWT,https://api.spotify.com/v1/audio-analysis/3Uuf5AEoI5KoDqYPcITpWT,0.0,1.2482308353085574e+17
3936,0.0,0.719,0.0252,5.0,-27.685,1.0,0.0757,0.992,0.966,0.167,0.572,139.987,55324.0,4.0,Sakura's Theme Piano,Kato,anime lo-fi,audio_features,06devWd30OlmRDQJTGidBM,spotify:track:06devWd30OlmRDQJTGidBM,https://api.spotify.com/v1/tracks/06devWd30OlmRDQJTGidBM,https://api.spotify.com/v1/audio-analysis/06devWd30OlmRDQJTGidBM,0.0,0.26324000000000003
4797,140000.0,0.557,0.0703,2.0,-26.509,0.0,0.0363,0.932,0.87,0.0912,0.0397,131.98,140000.0,4.0,Wanderer,Kainbeats,anime lo-fi,audio_features,3DGp0Eb7ilf932voLGb9di,spotify:track:3DGp0Eb7ilf932voLGb9di,https://api.spotify.com/v1/tracks/3DGp0Eb7ilf932voLGb9di,https://api.spotify.com/v1/audio-analysis/3DGp0Eb7ilf932voLGb9di,0.0,2744000000000000.0
